nohup: python: No such file or directory
adam_iter = 15000
bfgs_iter = 1000
Nf = 2000
save_path = ./data/2023_03_07_00_54_12
verbose = False
repeat = 1
start_epoch = 0
num_layers = 4
num_neurons = 50
(500, 1) (2000, 1)
epoch:   3919, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 1.036e-02, cost: 199.47
epoch:   3939, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.231e-03, cost: 200.39
epoch:   3959, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.037e-02, cost: 201.29
epoch:   3979, lr: 1.000e-03, data_loss: 3.636e-01, pde_loss: 7.191e-02, cost: 202.40
epoch:   3999, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.085e-03, cost: 203.43
epoch:   4019, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 3.601e-03, cost: 204.34
epoch:   4039, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 5.829e-03, cost: 205.25
epoch:   4059, lr: 1.000e-03, data_loss: 3.653e-01, pde_loss: 1.566e-01, cost: 206.15
epoch:   4079, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 2.571e-02, cost: 207.04
epoch:   4099, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.115e-03, cost: 207.96
epoch:   4119, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.013e-04, cost: 208.85
epoch:   4139, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.391e-03, cost: 209.88
epoch:   4159, lr: 1.000e-03, data_loss: 3.625e-01, pde_loss: 7.565e-02, cost: 211.58
epoch:   4179, lr: 1.000e-03, data_loss: 3.635e-01, pde_loss: 6.412e-02, cost: 212.96
epoch:   4199, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 3.407e-03, cost: 214.94
epoch:   4219, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.933e-03, cost: 216.03
epoch:   4239, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 7.184e-03, cost: 216.98
epoch:   4259, lr: 1.000e-03, data_loss: 3.639e-01, pde_loss: 1.126e-01, cost: 217.92
epoch:   4279, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 4.739e-03, cost: 219.03
epoch:   4299, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 2.524e-03, cost: 220.43
epoch:   4319, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.544e-02, cost: 221.79
epoch:   4339, lr: 1.000e-03, data_loss: 3.629e-01, pde_loss: 3.912e-02, cost: 223.42
epoch:   4359, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 4.345e-03, cost: 224.77
epoch:   4379, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.419e-02, cost: 225.87
epoch:   4399, lr: 1.000e-03, data_loss: 3.634e-01, pde_loss: 6.847e-02, cost: 226.81
epoch:   4419, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 2.248e-02, cost: 227.73
epoch:   4439, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.254e-03, cost: 228.64
epoch:   4459, lr: 1.000e-03, data_loss: 3.649e-01, pde_loss: 1.662e-01, cost: 229.57
epoch:   4479, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 7.220e-03, cost: 230.47
